exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.090518	5.9	298666	17.0	2734	baseline	depth=8, NVIDIA GeForce RTX 5090	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	521.3	0.001746	156401.0
exp1	Decrease TOTAL_BATCH_SIZE by a factor of 2	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
exp2	Reduce TOTAL_BATCH_SIZE to a specific value (half of default) using a constant instead of the helper	1.038544	5.8	539666	35.6	4941	keep	The previous attempt to decrease batch size crashed, likely due to how the reduc	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	565.2	0.001047	169578.2
exp3	Decrease TOTAL_BATCH_SIZE from 32768 to 16384	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
exp4	Increase MATRIX_LR from 0.045 to 0.06	1.041706	5.8	543333	35.8	4974	discard	Since we have successfully increased the number of steps by reducing the batch s	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	560.8	0.001032	168254.2
exp5	Increase MATRIX_LR from 0.045 to 0.08	1.045620	5.8	539486	35.6	4941	discard	Exp4 tried a slight increase to 0.06 which had a marginal negative effect, but g	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	568.0	0.001053	170444.9
exp6	Enable ACTIVATION_CHECKPOINTING	1.044102	3.6	506666	33.4	4640	discard	With only 5.8GB of VRAM used, we have significant headroom on the RTX 5090 (31GB	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	555.4	0.001096	166628.3
exp7	Increase MLP_RATIO from 10.0 to 12.0	1.038494	5.8	539333	35.6	4938	keep	The current memory usage is very low (5.8GB out of 31GB), suggesting the model i	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	568.2	0.001054	170478.3
exp8	Decrease TOTAL_BATCH_SIZE from 32768 to 24576	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
exp9	Increase WARMUP_RATIO from 0.125 to 0.2	1.046928	5.8	540819	35.7	4953	discard	With a smaller batch size and high step count, a longer warmup period can stabil	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	566.0	0.001046	169830.3
exp10	Increase MATRIX_LR from 0.045 to 0.05	1.040098	5.8	539333	35.6	4938	discard	Prior experiments (exp4, exp5) showed that larger jumps in MATRIX_LR (to 0.06 an	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	568.0	0.001053	170392.2
exp11	Increase DEPTH by 1	1.054302	8.1	342333	35.7	3133	discard	The model has significant memory headroom (5.8GB used of 31GB) and is currently 	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	566.0	0.001654	169789.4
exp12	Increase SCALAR_LR from 10.0 to 20.0	1.038770	5.8	540666	35.6	4951	discard	Prior experiments showed that increasing the MATRIX_LR (Muon) did not help, sugg	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	566.2	0.001047	169880.5
exp13	Increase FINAL_LR_FRAC from 0.02 to 0.1	1.038753	5.8	543000	35.8	4972	discard	The current FINAL_LR_FRAC is very low, potentially causing the learning rate to 	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	562.2	0.001035	168678.9
exp14	Increase ASPECT_RATIO from 64 to 80	1.048559	7.3	382000	35.7	3497	discard	Given that increasing MLP_RATIO improved performance and increasing DEPTH was to	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	567.7	0.001486	170327.6
exp15	Increase WEIGHT_DECAY from 0.04 to 0.1	1.041603	5.8	541000	35.7	4952	discard	With a fixed time budget and smaller batch sizes, the model may be prone to over	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	566.4	0.001047	169952.6
exp16	Decrease WARMUP_RATIO from 0.125 to 0.05	1.038430	5.8	540666	35.6	4951	keep	Previous attempt to increase warmup (exp9) degraded performance. Since we have a	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	565.7	0.001046	169750.3
exp17	Decrease WARMDOWN_RATIO from 0.6 to 0.4	1.040944	5.8	540666	35.7	4951	discard	The current warmdown is quite aggressive (60% of the budget), which may be decay	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	567.3	0.001049	170194.3
exp18	Decrease WARMDOWN_RATIO from 0.6 to 0.3	1.043098	5.8	541486	35.7	4958	discard	Experiment 17 tried 0.4 and was discarded, but since we have successfully reduce	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	565.0	0.001044	169538.8
exp19	Decrease MATRIX_LR from 0.045 to 0.03	1.038132	5.8	539153	35.5	4937	keep	Previous attempts to increase MATRIX_LR (exp4, exp5, exp10) all resulted in wors	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	567.5	0.001053	170284.0
exp20	Increase MATRIX_LR from 0.03 to 0.035	1.037068	5.8	539000	35.5	4936	keep	Previous experiments showed that higher LRs (0.05-0.08) were detrimental, but th	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	567.9	0.001053	170390.6
exp21	Decrease MATRIX_LR from 0.035 to 0.032	1.037066	5.8	540486	35.6	4950	keep	Exp 19 (0.03) and Exp 20 (0.035) both showed improvement over the original 0.045	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	566.0	0.001047	169844.5
exp22	Decrease MATRIX_LR from 0.032 to 0.025	1.038348	5.8	539000	35.5	4935	discard	Recent experiments (exp19-21) show that lowering MATRIX_LR from higher values ha	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	567.4	0.001053	170234.1
exp23	Increase MLP_RATIO from 12.0 to 16.0	1.037475	5.8	538820	35.5	4936	discard	Exp7 showed that increasing MLP_RATIO from 10.0 to 12.0 maintained performance w	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	568.1	0.001054	170461.6
exp24	Decrease TOTAL_BATCH_SIZE to 25600	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
exp25	Decrease WARMDOWN_RATIO from 0.6 to 0.5	1.038333	5.8	542333	35.8	4964	discard	Exp 17 and 18 showed that aggressive reductions in warmdown (to 0.4 and 0.3) wer	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	563.3	0.001039	168986.7
exp26	Decrease WARMDOWN_RATIO from 0.6 to 0.45	1.038733	5.8	542333	35.8	4966	discard	Prior experiments with very low warmdown (0.3, 0.4) failed, but a slight reducti	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	563.1	0.001038	168951.1
exp27	Increase HEAD_DIM from 128 to 256	1.044204	5.8	522666	34.5	4785	discard	We have mostly focused on learning rates and batch size. Increasing the head dim	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	549.0	0.001050	164708.7
exp28	Increase FINAL_LR_FRAC from 0.02 to 0.05	1.038020	5.8	541819	35.7	4961	discard	Exp13 tried a jump to 0.1 which failed, but a moderate increase in the final lea	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	564.4	0.001042	169338.9
exp29	Decrease TOTAL_BATCH_SIZE from 32768 to 32000	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
exp30	Increase MATRIX_LR from 0.032 to 0.038	1.037614	5.8	542333	35.8	4964	discard	Recent experiments show a peak in performance around 0.032-0.035. A slight incre	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	563.1	0.001039	168954.7
exp31	Decrease TOTAL_BATCH_SIZE to 32768 / 1.25 (approx 26214) is risky due to previous crashes; instead, increase MATRIX_LR slightly to 0.034	1.037469	5.8	542333	35.8	4965	discard	Previous experiments show val_bpb is very sensitive to MATRIX_LR, with the optim	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	564.1	0.001040	169241.5
exp32	Increase TOTAL_BATCH_SIZE from 32768 to 65536	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	31130ae2797ecafd91510fe75904552b5230e0b7	0.0	0.000000	0.0
