exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.304135	13.7	54539	12.8	499	baseline	depth=8, Apple M5 Max	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	20.8	0.000382	6242.7
exp1	Increase DEVICE_BATCH_SIZE from 1 to 2	1.326231	13.5	46651	11.0	428	discard	The baseline achieves only 12.8% MFU with device batch size 1, indicating poor h	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	9.5	0.000203	2843.7
exp2	Decrease MATRIX_LR from 0.0435 to 0.035	1.335753	13.7	46573	11.0	428	discard	The baseline achieved good performance with the current hyperparameters, but the	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	11.2	0.000240	3361.9
exp3	Increase DEVICE_BATCH_SIZE from 1 to 4	1.322016	14.0	48236	11.4	443	discard	The baseline achieved the best val_bpb so far with DEVICE_BATCH_SIZE=1, getting 	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	9.9	0.000204	2962.5
exp4	Decrease DEVICE_BATCH_SIZE from 1 to 0.5 (if supported) or try increasing TOTAL_BATCH_SIZE to get more gradient steps	1.355218	26.3	54297	12.6	249	discard	The baseline with DEVICE_BATCH_SIZE=1 achieved the best val_bpb so far, and incr	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.5	0.000248	4048.0
exp5	Decrease WEIGHT_DECAY from 0.05 to 0.01	1.316940	13.7	50249	11.8	461	discard	The baseline is currently best, suggesting the model might be overfitting or reg	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	12.6	0.000251	3786.8
exp6	Increase MATRIX_LR from 0.0435 to 0.05	1.323856	13.7	48934	11.5	449	discard	The baseline achieved the best val_bpb so far, and previous attempts to decrease	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	12.1	0.000246	3626.6
exp7	Increase WARMUP_RATIO from 0.0 to 0.1	1.317364	13.7	52544	12.4	482	discard	The baseline is still the best performer, suggesting the current hyperparameters	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.3	0.000253	4000.4
exp8	Decrease ADAM_BETAS from (0.8, 0.95) to (0.9, 0.95)	1.326869	13.7	49284	11.6	452	discard	The first beta parameter controls the exponential moving average of gradients, a	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	12.2	0.000247	3653.4
exp9	Decrease WARMDOWN_RATIO from 0.5 to 0.3	1.324752	13.7	47634	11.2	436	discard	The baseline has the best performance so far, and most changes have hurt validat	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	11.6	0.000244	3482.3
exp10	Decrease DEPTH from default to reduce model size and increase gradient steps	1.310405	11.3	59254	11.3	543	discard	All experiments so far have failed to beat the baseline, suggesting we need to e	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	11.0	0.000186	3314.9
exp11	Increase EMBEDDING_LR from 0.4 to 0.6	1.332194	13.7	44592	10.5	410	discard	The embedding parameters are crucial for language modeling performance and may b	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	10.5	0.000234	3148.5
exp12	Decrease UNEMBEDDING_LR from 0.0033 to 0.002	1.356854	13.7	45272	10.6	415	discard	The unembedding layer learning rate hasn't been explored yet, and it's currently	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	10.6	0.000235	3192.9
exp13	Increase SCALAR_LR from 0.4 to 0.6	1.346156	13.7	44607	10.4	408	discard	The scalar parameters (like layer norm scales) might benefit from a higher learn	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	10.3	0.000231	3087.7
exp14	Decrease WARMDOWN_RATIO from 0.5 to 0.0 to eliminate learning rate decay	1.355460	13.7	49000	11.5	448	discard	The baseline has no warmup (0.0) but significant warmdown (0.5), which reduces l	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	12.6	0.000257	3774.2
exp15	Increase MATRIX_LR from 0.0435 to 0.055	1.317069	13.7	51299	12.1	469	discard	The baseline remains unbeaten despite 14 experiments. Previous attempts to incre	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.4	0.000262	4020.4
exp16	Decrease MATRIX_LR from 0.0435 to 0.04	1.310555	13.7	52579	12.4	483	discard	The baseline has the best val_bpb so far at 1.3041. Previous attempts to increas	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.3	0.000252	3995.0
exp17	Decrease MATRIX_LR from 0.0435 to 0.038	1.308976	13.7	53559	12.6	491	discard	The baseline remains the best performer at 1.3041 val_bpb. Previous experiments 	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.7	0.000255	4106.0
exp18	Decrease MATRIX_LR from 0.0435 to 0.036	1.315844	13.7	52263	12.3	480	discard	The trend shows that decreasing MATRIX_LR continues to improve performance - exp	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	13.2	0.000253	3977.6
exp19	Decrease MATRIX_LR from 0.0435 to 0.034	1.326472	13.7	50932	12.0	467	discard	The trend shows decreasing MATRIX_LR from 0.0435 to 0.038 improved val_bpb from 	Apple M5 Max	d1db2c848a4b252528859fb73fea7ea8f626c085	12.5	0.000246	3769.3
