exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.089663	5.9	298666	17.0	2735	baseline	depth=8, NVIDIA GeForce RTX 5090	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	461.8	0.001546	138567.7
exp1	Halve TOTAL_BATCH_SIZE to increase number of gradient steps within time budget	1.100370	3.2	282666	16.1	5174	discard	The key insight is that smaller batches enable more gradient updates in fixed ti	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	448.7	0.001588	134605.2
exp2	Increase WARMUP_RATIO from 0.0 to 0.05	1.088467	5.9	299233	17.0	2739	keep	With a nonzero warmup ratio, the learning rates ramp up gradually instead of spi	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	468.0	0.001565	140460.8
exp3	Increase WARMDOWN_RATIO from 0.5 to 0.7	1.085508	5.9	298333	17.0	2732	keep	Lengthening the warmdown phase allows for a more gradual reduction of the learni	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	468.5	0.001570	140566.3
exp4	Increase FINAL_LR_FRAC from 0.0 to 0.05	1.085537	5.9	298333	17.0	2731	discard	Currently, the learning rate decays fully to zero at the end of training, which 	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	467.2	0.001567	140189.1
exp5	Decrease DEVICE_BATCH_SIZE to increase number of gradient steps within time budget	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	0.0	0.000000	0.0
exp6	Decrease WEIGHT_DECAY from 0.2 to 0.15	1.083190	5.9	299333	17.0	2739	keep	The current weight decay may be relatively strong, possibly hindering the model'	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	468.7	0.001567	140624.4
exp7	Increase ASPECT_RATIO from 64 to 80	1.088867	7.3	233666	19.2	2139	discard	Increasing ASPECT_RATIO raises the model's width (model_dim), thereby increasing	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	493.4	0.002112	148054.2
exp8	Increase MLP_RATIO from default (unspecified) to 4.0	1.083284	5.9	298567	17.0	2733	discard	Increasing the MLP_RATIO raises the hidden dimension size in the transformer's f	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	467.2	0.001566	140216.2
exp9	Increase WARMUP_RATIO from 0.05 to 0.10	1.086557	5.9	299000	17.0	2736	discard	The increase from 0.0 to 0.05 improved val_bpb in exp2, suggesting that a higher	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	469.8	0.001572	140936.2
exp10	Decrease SCALAR_LR from 0.5 to 0.3	1.084795	5.9	298666	17.0	2735	discard	The SCALAR_LR is relatively high and applies to per-layer scaling factors, where	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	472.9	0.001583	141881.3
exp11	Decrease HEAD_DIM from 128 to 96	1.095429	6.6	235254	16.2	2154	discard	Reducing HEAD_DIM decreases the model's memory footprint, which could allow for 	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	492.1	0.002093	147693.4
exp12	Increase DEPTH by 2 to leverage potential for deeper models with activation checkpointing.	1.096171	9.0	194935	19.8	1786	discard	The RTX 5090 has substantial memory, and activation checkpointing is enabled, ma	NVIDIA GeForce RTX 5090	3c800236c8a3ce84066697ec1907cb62bd6170ea	526.7	0.002700	158038.3
