exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline	1.090130	6.0	0	0.0	0	baseline	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp1	Increase WARMDOWN_RATIO to 0.75 so more training time is spent in LR cooldown phase, allowing better convergence [step 00150 (88.0%) | loss: 3.493574 | lrm: 0.16 | dt: 1695ms | tok/sec: 309,258 | mfu:	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp2	Halve TOTAL_BATCH_SIZE to 2^18 for 2x more optimizer steps in the same time budget, enabling better convergence	0.970227	6.0	0	0.0	0	keep	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp3	Increase WARMDOWN_RATIO to 0.6 and set FINAL_LR_FRAC to 0.05 for a longer, smoother cooldown that allows better convergence without crashing	0.971622	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp4	Add cosine LR schedule instead of linear warmdown - smoother decay that maintains higher LR longer before dropping, proven to improve convergence	1.108308	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp5	Increase gradient accumulation by doubling TOTAL_BATCH_SIZE back to 2^19 but use sequence length packing with a shorter effective sequence - actually try increasing model capacity by using a larger as	1.418474	7.5	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp6	Add a short LR warmup (2% of budget) to stabilize early training and reduce initial loss spikes, which should improve final convergence	1.136150	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp7	Add weight decay to embedding parameters via z-loss on embedding norms - actually try increasing WARMDOWN_RATIO to 0.55 with FINAL_LR_FRAC=0.02 for a slightly longer cooldown than current 0.5/0.0, bui	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp8		0.000000	0.0	0	0.0	0	skip	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp9	Increase embedding and value embedding weight decay from 0.001 to 0.003, and lm_head weight decay from 0.001 to 0.002, as proven techniques suggest 0.001-0.003 range for embeddings is often a big win 	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp10		0.000000	0.0	0	0.0	0	skip	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp11	Start Muon momentum at 0.95 immediately instead of warming up from 0.88, giving better gradient orthogonalization from the first step when learning signal is strongest	1.127362	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp12	Add label smoothing (0.1) to cross-entropy loss to improve generalization by preventing overconfident predictions - a proven NLP technique not yet tried [step 00148 (87.3%) | loss: 4.204367 | lrm: 0.2	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp13	Combine the best batch size (2^18 for 2x more optimizer steps) with the near-miss LR schedule (WARMDOWN_RATIO=0.6, FINAL_LR_FRAC=0.05) that was only 0.0014 away from baseline [GPU: NVIDIA GeForce RTX 	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp14		0.000000	0.0	0	0.0	0	skip	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp15	Increase logit softcap from 12 to 30 to allow larger logit magnitudes, giving the model more expressive power for confident predictions without completely removing the regularization [step 00152 (88.0	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp16	Increase RoPE base frequency from 50000 to 500000 (like LLaMA 3) for better positional encoding across the 2048 context window	1.077918	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp17	Initialize x0_lambdas to 0.3 instead of 0.1 to give stronger input skip connections, improving gradient flow and convergence speed [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp18		0.000000	0.0	0	0.0	0	skip	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp19	Increase Muon ns_steps from 5 to 6 for better gradient orthogonalization via one extra polar express iteration, improving the quality of each optimizer step	1.080295	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp20	Remove adaptive gradient clipping (cosine 1.0→0.3) and use a fixed clip norm of 1.0 throughout training, preventing over-aggressive clipping during warmdown phase that may hurt final convergence	1.081666	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp21	Replace squared ReLU with SwiGLU activation in MLP (expand to 8/3 * n_embd hidden dim for same parameter count), a proven improvement for language models	1.089704	6.1	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp22	Remove the internal residual connection in MLP (the block already adds a residual), preventing double-residual that dilutes the MLP transformation signal	1.069281	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp23	Try WARMDOWN_RATIO=0.55 with FINAL_LR_FRAC=0.02 - a slight variation from the near-miss (0.6/0.05 was +0.0014 from best), finding the sweet spot for LR cooldown duration	1.084594	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp24	Halve TOTAL_BATCH_SIZE to 2^18 for 2x more optimizer steps, which previously achieved the best val_bpb of 0.9702 - the current code still has 2^19	0.970822	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp25	Set TOTAL_BATCH_SIZE=2^18 for 2x more optimizer steps in the 5-minute budget, which previously achieved the best val_bpb of 0.9702. Current code reverted to 2^19.	0.970985	6.0	0	0.0	0	discard	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
exp26	Reduce TOTAL_BATCH_SIZE to 2^17 for ~4x more optimizer steps than baseline (2x more than the best 2^18 result), trading batch noise for more gradient updates in the 5-minute budget	0.949786	6.0	0	0.0	0	keep	sonnet46-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.0	0.0
