exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha
exp0	baseline	1.096577	6.0	0	0.0	0	baseline	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp1	Switch LR warmdown to cosine schedule instead of linear for smoother decay. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp2		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp3	Apply more aggressive warmdown: set WARMDOWN_RATIO=0.75 to spend more of the budget decaying LR. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp4		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp5	Add weight decay to value embeddings parameter group, increasing to 0.003 for potentially stronger regularization.	1.087267	6.0	0	0.0	0	keep	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp6	Halve TOTAL_BATCH_SIZE for ~2x more optimizer steps (more updates in same time, common BPB win).	0.970430	6.0	0	0.0	0	keep	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp7	Switch MLP activation from relu^2 to GELU (more effective, smoother gradients). [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp8		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp9	Apply z-loss only during early training (progress < 0.7), to avoid regularization late when overfitting is less likely. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp10		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp11	Increase Adam beta2 to 0.98 for more stable long-term parameter updates.	1.085488	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp12	Reduce weight decay for Muon optimizer to 0.05 to allow parameters to learn more freely	1.096290	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp13	Increase adaptive gradient clipping strength: lower max_norm to range [0.2, 1.0] (was [0.3, 1.0])	1.081364	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp14	Increase softcap from 12 to 16 in output logits tanh to allow higher logit magnitude, potentially improving expressivity. []	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp15	Increase EMA smoothing of train loss for more stable logging and potentially more consistent schedule adaptation.	1.085288	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp16	Increase the MLP hidden size multiplier from 4x to 6x to boost model capacity without changing depth or batch size. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp17		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp18	Increase EMA smoothing for train loss logging to 0.98 for more stable loss tracking, which may help with schedule adaptation. []	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp19	Increase the value embedding parameter group weight decay to 0.003 for stronger regularization.	1.085119	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp20	Increase HEAD_DIM from 128 to 160 to allow more attention heads (potentially improving model expressivity and throughput). []	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp21	Increase the MLP hidden size multiplier from 4x to 5x for more capacity without changing normalization. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp22		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp23	Increase softcap in output logits tanh from 12 to 14 to allow higher logit magnitude and potentially improve expressivity. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp24		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp25	Increase the short attention window size from half to three-quarters of the context for more context per layer.	1.085177	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp26	Increase the short attention window size from half to three-quarters of the context for more context per layer. [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp27		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp28	Switch to using torch.inference_mode instead of torch.no_grad during final eval for potentially faster and more memory-efficient validation.	1.081008	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp29	Increase the short attention window size from half to seven-eighths of the context for more context per layer.	1.081184	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp30	Increase MLP hidden size multiplier from 4x to 4.5x for more capacity without changing normalization.	1.092802	6.3	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp31	Increase weight decay on value embedding parameter group to 0.002 for slightly stronger regularization.	1.081997	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp32	Switch to torch.inference_mode (instead of torch.no_grad) during final eval for potentially faster and more memory-efficient validation.	1.086910	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp33	Increase the short attention window size from half to five-eighths of the context for more context per layer.	0.929527	5.9	0	0.0	0	keep	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp34	Add small weight decay (0.001) to the value embedding parameter group for stronger regularization.	0.921393	5.9	0	0.0	0	keep	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp35	Initialize all MLP c_proj weights with small normal noise instead of zeros for better gradient flow.	0.921902	5.9	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp36	Increase the MLP residual connection scaling factor from 1.0 to 1.2 to encourage stronger MLP updates.	0.916588	5.9	0	0.0	0	keep	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp37	Apply z-loss only in early training (progress < 0.7), to avoid over-regularization late. [_recursive_post_grad_passes(gm, is_inference=is_inference)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp38		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp39	SYNTAX: Introduce a small constant bias (0.01) to MLP c_fc weights for all layers during initialization to promote more active neuron outputs early in training, possibly improving early convergence. [	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp40	Add small weight decay (0.001) to Muon optimizer parameter groups for additional regularization.	0.923710	9.9	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp41	Set a small positive bias (0.01) for all MLP c_fc layers in init_weights, encouraging early neuron activation.	0.916729	5.9	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp42	Increase the number of optimizer steps by reducing the VRAM safety margin in GPU auto-detection, allowing more tokens to fit per batch if VRAM allows.	0.917131	5.9	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp43	Switch MLP activation from relu^2 to relu for potentially better gradient flow and less dead neurons.	1.110494	5.5	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp44	Increase the softcap in output logits tanh from 12 to 13 to allow slightly higher logit magnitude, potentially improving expressivity.	1.085506	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp45	Switch MLP activation from relu^2 to squared GELU for smoother gradients and potentially better learning dynamics. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp46		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp47	Increase the EMA smoothing factor for train loss logging to 0.95 for more stable loss tracking, which may help with schedule adaptation.	1.087548	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp48	Increase the tanh softcap in output logits from 12 to 15 to allow higher logit magnitude, potentially improving expressivity.	1.088111	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp49	Increase the number of gradient accumulation steps by halving DEVICE_BATCH_SIZE, enabling more updates per optimizer step (if VRAM allows).	1.086319	6.0	0	0.0	0	discard	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp50	Increase the initial value of x0_lambdas from 0.1 to 0.2 to encourage more residual mixing from the input embedding at each layer. [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp51		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp52	FAILED TO APPLY: Increase the MLP residual connection scaling factor from 1.2 (previous best) to 1.3 for even stronger MLP updates.	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp53	Switch MLP activation from relu^2 to swish (x * sigmoid(x)) for smoother gradients and potentially better learning dynamics. [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp54		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp55	Add small amount of label smoothing (0.05) to the cross-entropy loss for improved generalization. [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)	0.000000	0.0	0	0.0	0	crash	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
exp56		0.000000	0.0	0	0.0	0	skip	gpt41-r1-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704
