exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.089635	5.9	299233	17.0	2740	baseline	depth=8, NVIDIA GeForce RTX 5090	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	462.1	0.001544	138671.2
exp1	Halve DEVICE_BATCH_SIZE to increase gradient steps per fixed time.	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	0.0	0.000000	0.0
exp2	Halve TOTAL_BATCH_SIZE to increase gradient steps within the time budget.	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	0.0	0.000000	0.0
exp3	Increase WARMUP_RATIO from 0.0 to 0.05	1.088317	5.9	299233	17.0	2739	keep	A nonzero warmup period can help stabilize training in the early phase, especial	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	465.2	0.001556	139612.8
exp4	Increase WARMDOWN_RATIO from 0.5 to 0.8	1.085584	5.9	299000	17.0	2738	keep	A longer warmdown period allows the learning rate to decrease more gradually tow	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	468.0	0.001565	140421.5
exp5	Increase FINAL_LR_FRAC from 0.0 to 0.03	1.083977	5.9	299233	17.0	2739	keep	Setting FINAL_LR_FRAC to a small nonzero value can prevent the learning rate fro	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	467.5	0.001563	140292.0
exp6	Increase DEPTH by 2 (from _hp_defaults['depth'] to _hp_defaults['depth'] + 2)	1.095471	9.0	195601	19.9	1790	discard	Since memory usage is low (5.9 GB out of 31 GB), we have considerable headroom t	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	520.0	0.002661	156075.7
exp7	Decrease WEIGHT_DECAY from 0.2 to 0.1	1.081087	5.9	299000	17.0	2738	keep	The current weight decay is relatively high and may be introducing excessive reg	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	466.9	0.001561	140072.5
exp8	Increase WARMUP_RATIO from 0.05 to 0.1	1.084501	5.9	299233	17.0	2740	discard	Increasing the warmup period can help stabilize training early on, especially wi	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	467.4	0.001562	140261.9
exp9	Decrease DEVICE_BATCH_SIZE by ~20% (from _hp_defaults['device_batch_size'] to int(_hp_defaults['device_batch_size'] * 0.8))	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	0.0	0.000000	0.0
exp10	Increase ASPECT_RATIO from 64 to 80	1.086437	7.3	234921	19.3	2150	discard	Increasing ASPECT_RATIO raises the model dimension while keeping DEPTH constant,	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	515.4	0.002195	154668.8
exp11	Increase MLP_RATIO from the implicit default (unset) to 4.5	1.081539	5.9	298900	17.0	2738	discard	Since maximizing steps through batch size tweaks has led to crashes, let's turn 	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	468.1	0.001566	140473.3
exp12	Decrease HEAD_DIM from 128 to 96	1.093145	6.6	235254	16.2	2156	discard	Reducing HEAD_DIM decreases per-layer memory and compute, potentially allowing f	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	488.4	0.002074	146546.1
exp13	Decrease MATRIX_LR from 0.04 to 0.03	1.079657	5.9	299333	17.0	2739	keep	Lowering the MATRIX_LR slightly can help stabilize learning and may yield better	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	468.0	0.001565	140416.6
exp14	Decrease SCALAR_LR from 0.5 to 0.3	1.080759	5.9	299000	17.0	2738	discard	Scalar parameters often benefit from a slightly lower learning rate, as too high	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	467.6	0.001564	140305.1
exp15	Decrease UNEMBEDDING_LR from 0.004 to 0.002	1.087436	5.9	299000	17.0	2738	discard	Lowering the unembedding (final projection) learning rate may help stabilize tra	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	469.7	0.001571	140928.6
exp16	Increase SCALAR_LR from 0.5 to 0.7	1.081190	5.9	298666	17.0	2735	discard	The current SCALAR_LR of 0.5 is inherited from defaults and lowering it (exp14) 	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	467.4	0.001565	140235.7
exp17	Increase EMBEDDING_LR from 0.6 to 0.8	1.080537	5.9	299000	17.0	2737	discard	The embedding parameters can sometimes benefit from faster learning rates due to	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	469.1	0.001569	140740.3
exp18	Increase WARMDOWN_RATIO from 0.8 to 0.9	1.080032	5.9	299000	17.0	2736	discard	The previous increase in WARMDOWN_RATIO from 0.5 to 0.8 led to an improvement in	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	469.1	0.001570	140751.3
exp19	Increase WARMDOWN_RATIO from 0.8 to 0.85	1.080317	5.9	299000	17.0	2738	discard	Previous increases in WARMDOWN_RATIO (from 0.5 to 0.8) led to improved val_bpb, 	NVIDIA GeForce RTX 5090	f79496bfb00906d5038fff8a7464247004207159	467.7	0.001564	140323.8
