exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline	1.202751	6.0	0	0.0	0	baseline	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp1	Add label smoothing to cross-entropy loss to improve generalization	1.179595	7.0	0	0.0	0	keep	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp2	Add dropout (p=0.1) after attention and MLP residual connections to improve regularization	1.223943	7.2	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp3	Reduce embedding initialization std from 1.0 to 0.02 for better generalization	1.064721	6.0	0	0.0	0	keep	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp4	Add small L2 regularization on token embeddings to improve generalization [IndentationError: unexpected indent]	0.000000	0.0	0	0.0	0	crash	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp5	Set matrix weight decay to zero to reduce regularization on core weights	1.119637	6.0	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp6	Add a small learning rate warmup to improve early training stability	1.126646	6.0	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp7	Add a small learning rate warmup (5% of the time budget) to improve early training stability	1.126164	6.0	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp8	Reduce softcap from 12 to 6 to better regularize logits	1.129564	6.0	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp9	Increase L2 regularization on token embeddings to improve generalization	1.086838	6.0	0	0.0	0	discard	gptoss120b-r2-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
