exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline (no modifications)	1.090689	5.9	299233	17.0	2741	baseline	depth=8, NVIDIA GeForce RTX 5090	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	461.7	0.001543	138549.8
exp1	Reduce DEVICE_BATCH_SIZE to half its current value	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	0.0	0.000000	0.0
exp2	Reduce TOTAL_BATCH_SIZE to half its current value	0.000000	0.0	0	0.0	0	crash	training crashed or timed out	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	0.0	0.000000	0.0
exp3	Increase WARMUP_RATIO from 0.0 to 0.05	1.088781	5.9	299333	17.0	2740	keep	A non-zero WARMUP_RATIO can help to stabilize training, especially for larger le	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	465.4	0.001555	139628.5
exp4	Increase WARMDOWN_RATIO from 0.5 to 0.8	1.084656	5.9	299233	17.0	2739	keep	Extending the warmdown period may help as more training steps receive a slowly d	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	467.6	0.001563	140315.4
exp5	Increase WARMUP_RATIO from 0.05 to 0.1	1.086848	5.9	299333	17.0	2741	discard	Prior experiments with WARMUP_RATIO showed improvement when it was increased fro	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	465.7	0.001556	139728.0
exp6	Increase FINAL_LR_FRAC from 0.0 to 0.05	1.084623	5.9	299233	17.0	2740	keep	Currently, the learning rate decays all the way to zero at the end of training, 	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	466.1	0.001558	139870.5
exp7	Increase WARMDOWN_RATIO from 0.8 to 0.95	1.083537	5.9	299233	17.0	2740	keep	Increasing the WARMDOWN_RATIO will extend the LR warmdown phase, which may furth	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	466.4	0.001559	139939.9
exp8	Decrease WEIGHT_DECAY from 0.2 to 0.15	1.081907	5.9	299233	17.0	2740	keep	The current weight decay is relatively high, which might unnecessarily hinder le	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	466.8	0.001560	140075.1
exp9	Increase DEPTH by 2	1.093312	9.0	195601	19.9	1790	discard	The RTX 5090 has substantial unused memory headroom (only ~6GB in use from 31GB 	NVIDIA GeForce RTX 5090	6c3ee2eeb0bea54dc386a596ba89489cc0815b30	521.6	0.002668	156519.1
