exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes	gpu_name	baseline_sha	watts	joules_per_token	total_energy_joules
exp0	baseline	1.152597	6.0	0	0.0	0	baseline	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp1	Increase WARMDOWN_RATIO from 0.5 to 0.75 for more aggressive LR cooldown over 75% of training time instead of 50%, allowing more steps at lower learning rates near convergence	1.198987	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp2	Increase weight decay on embedding layers (wte, lm_head, value_embeds) from 0.001 to 0.003	1.088085	6.0	0	0.0	0	keep	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp3	Replace linear LR warmdown with cosine annealing for smoother learning rate decay	1.092454	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp4	Add label smoothing (0.1) to cross-entropy loss to improve generalization and reduce model overconfidence	1.361798	7.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp5	Add 0.1 dropout to residual connections in transformer blocks to reduce overfitting	1.089656	6.3	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp6	Increase z-loss coefficient from 1e-4 to 1e-3 for stronger logit regularization	1.097502	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp7	Add 5% linear LR warmup at the start of training to stabilize early optimization	1.134669	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp8	Reduce logits softcap from 12 to 8 for stronger regularization	1.152644	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp9	Add 0.1 dropout to token embeddings (wte) to reduce overfitting	1.128078	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp10	Change RoPE base frequency from 50000 to 10000 for improved long-range dependency modeling	1.147484	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp11	Add stochastic depth (layer dropout) with 10% drop probability to transformer blocks for regularization	1.118429	6.5	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp12	Increase weight decay on embedding layers (wte, lm_head, value_embeds) from 0.001 to 0.005 for stronger regularization	1.089653	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp13	Change MLP activation from ReLU^2 to GELU for smoother gradients and better optimization	1.108049	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp14	Change attention window pattern from SSSL to SSSS to use shorter windows in all layers except last, increasing training throughput for more steps in the fixed time budget	1.089291	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp15	Initialize x0_lambdas to 0.2 instead of 0.1 for stronger deep residual skip connections from input	1.081410	6.0	0	0.0	0	keep	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp16	Initialize resid_lambdas to 0.9 instead of 1.0 to reduce main residual path weight and complement strong x0 skip connections	1.072322	6.0	0	0.0	0	keep	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp17	Increase logits softcap from 12 to 20 to allow higher logit magnitudes before tanh saturation	1.101651	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp18	Share value embeddings across all layers instead of separate per-layer embeddings	1.115209	5.8	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
exp19	Align value embeddings Adam betas with regular embeddings (0.8, 0.95) instead of (0.9, 0.999) for potentially faster adaptation of value residual connections	1.117768	6.0	0	0.0	0	discard	kimi-k25-r3-controlled	NVIDIA GeForce RTX 5070 Ti	3fb6704	0.0	0.000000	0.0
